From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Mbale,184.37,171.68,155.03,2025-12-15,2026-01-14,Mbale
15-12-2025,14-01-2026,Kerina,185.75,173.06,156.41,2025-12-15,2026-01-14,Kerina
15-12-2025,14-01-2026,Nairobi,184.52,171.47,154.78,2025-12-15,2026-01-14,Nairobi
15-12-2025,14-01-2026,Modogashe,196.26,183.21,166.52,2025-12-15,2026-01-14,Modogashe
15-12-2025,14-01-2026,Marigat,184.45,171.75,155.1,2025-12-15,2026-01-14,Marigat
15-12-2025,14-01-2026,Lodwar,191.24,178.55,161.9,2025-12-15,2026-01-14,Lodwar
15-12-2025,14-01-2026,Kobujoi,184.82,172.12,155.47,2025-12-15,2026-01-14,Kobujoi
15-12-2025,14-01-2026,Sotik,185.24,172.54,155.89,2025-12-15,2026-01-14,Sotik
15-12-2025,14-01-2026,Nambale,185.51,172.82,156.17,2025-12-15,2026-01-14,Nambale
15-12-2025,14-01-2026,Mpeketoni,186.58,173.54,156.84,2025-12-15,2026-01-14,Mpeketoni
15-12-2025,14-01-2026,Marsabit,197.73,184.68,167.99,2025-12-15,2026-01-14,Marsabit
15-12-2025,14-01-2026,Gilgil,183.13,170.43,153.78,2025-12-15,2026-01-14,Gilgil
15-12-2025,14-01-2026,Nandi Hills,184.35,171.66,155.01,2025-12-15,2026-01-14,Nandi Hills
15-12-2025,14-01-2026,Kaplamai,184.73,172.04,155.38,2025-12-15,2026-01-14,Kaplamai
15-12-2025,14-01-2026,Sondu,184.18,171.49,154.84,2025-12-15,2026-01-14,Sondu
15-12-2025,14-01-2026,Usenge,184.97,172.28,155.62,2025-12-15,2026-01-14,Usenge
15-12-2025,14-01-2026,Kilifi,182.11,169.06,152.36,2025-12-15,2026-01-14,Kilifi
15-12-2025,14-01-2026,Kitui,186.8,173.75,157.05,2025-12-15,2026-01-14,Kitui
15-12-2025,14-01-2026,North Horr,199.39,186.34,169.64,2025-12-15,2026-01-14,North Horr
15-12-2025,14-01-2026,Bungoma,185.33,172.64,155.99,2025-12-15,2026-01-14,Bungoma
15-12-2025,14-01-2026,Nakalale,195.91,183.22,166.56,2025-12-15,2026-01-14,Nakalale
15-12-2025,14-01-2026,Kunyao,186.9,174.21,157.55,2025-12-15,2026-01-14,Kunyao
15-12-2025,14-01-2026,Lugari,185.31,172.62,155.96,2025-12-15,2026-01-14,Lugari
15-12-2025,14-01-2026,Muranga,185.05,172.0,155.31,2025-12-15,2026-01-14,Muranga
15-12-2025,14-01-2026,Eldas,203.23,190.18,173.49,2025-12-15,2026-01-14,Eldas
15-12-2025,14-01-2026,Eldoret,184.38,171.68,155.03,2025-12-15,2026-01-14,Eldoret
15-12-2025,14-01-2026,Lokitaung,197.55,184.86,168.2,2025-12-15,2026-01-14,Lokitaung
15-12-2025,14-01-2026,Kapcherop,185.07,172.38,155.72,2025-12-15,2026-01-14,Kapcherop
15-12-2025,14-01-2026,Isebania,187.39,174.7,158.04,2025-12-15,2026-01-14,Isebania
15-12-2025,14-01-2026,Nyangusu,186.25,173.55,156.9,2025-12-15,2026-01-14,Nyangusu
15-12-2025,14-01-2026,Mwatate,184.01,170.96,154.27,2025-12-15,2026-01-14,Mwatate
15-12-2025,14-01-2026,Dadaab,193.75,180.7,164.01,2025-12-15,2026-01-14,Dadaab
15-12-2025,14-01-2026,Nyahururu,183.62,170.93,154.28,2025-12-15,2026-01-14,Nyahururu
15-12-2025,14-01-2026,Chepareria,186.1,173.4,156.75,2025-12-15,2026-01-14,Chepareria
15-12-2025,14-01-2026,Loruk,187.24,174.54,157.89,2025-12-15,2026-01-14,Loruk
15-12-2025,14-01-2026,Siaya,184.58,171.89,155.24,2025-12-15,2026-01-14,Siaya
15-12-2025,14-01-2026,Rongo,185.96,173.26,156.61,2025-12-15,2026-01-14,Rongo
15-12-2025,14-01-2026,Voi,183.43,170.38,153.69,2025-12-15,2026-01-14,Voi
